nr_model,seq_length,batch_size,hidden_size,num_layers,lr,dropout_prob,num_epochs,loss_function,data_inicial,data_final,dias_futuros,mae,mse,rmse,dac
192,45,32,128,3,0.002,0.2,50,MAE,2025-12-17 11:57:21,2025-12-17 11:58:08,1,0.2964200675487518,0.337459534406662,0.5809126496315002,0.8070866141732284
45,30,32,128,2,0.002,0.2,30,MSE,2025-12-17 11:15:09,2025-12-17 11:15:23,1,0.3039617538452148,0.1200650110840797,0.3465039730072021,0.8023483365949119
76,30,64,64,2,0.002,0.1,50,MAE,2025-12-17 11:24:20,2025-12-17 11:24:25,1,0.3057767450809479,0.2916696667671203,0.5400645136833191,0.8003913894324853
244,45,64,128,3,0.001,0.1,50,MAE,2025-12-17 12:09:25,2025-12-17 12:10:10,1,0.3227989971637726,0.2648906409740448,0.5146752595901489,0.8110236220472441
23,30,32,64,3,0.001,0.2,50,MSE,2025-12-17 11:09:59,2025-12-17 11:10:13,1,0.3234709203243255,0.2456979900598526,0.4956793189048767,0.8043052837573386
188,45,32,128,3,0.002,0.1,50,MAE,2025-12-17 11:54:52,2025-12-17 11:55:39,1,0.3248100280761719,0.3902970254421234,0.624737560749054,0.8051181102362205
256,45,64,128,3,0.002,0.2,50,MAE,2025-12-17 12:16:32,2025-12-17 12:17:16,1,0.3262195885181427,0.3157895505428314,0.5619515776634216,0.8051181102362205
148,45,32,64,3,0.001,0.1,50,MAE,2025-12-17 11:39:36,2025-12-17 11:39:47,1,0.3286532461643219,0.4670595228672027,0.683417558670044,0.8149606299212598
44,30,32,128,2,0.002,0.1,50,MAE,2025-12-17 11:14:46,2025-12-17 11:15:09,1,0.3366498053073883,0.2928674221038818,0.5411722660064697,0.8160469667318982
248,45,64,128,3,0.001,0.2,50,MAE,2025-12-17 12:11:48,2025-12-17 12:12:32,1,0.3442722856998443,0.2652380168437958,0.5150126218795776,0.8090551181102362
62,30,32,128,3,0.002,0.2,30,MAE,2025-12-17 11:22:11,2025-12-17 11:22:31,1,0.3451365232467651,0.1701323091983795,0.4124709665775299,0.8043052837573386
126,30,64,128,3,0.002,0.2,30,MAE,2025-12-17 11:36:09,2025-12-17 11:36:28,1,0.3549264371395111,0.2606376409530639,0.5105268359184265,0.8043052837573386
218,45,64,64,3,0.002,0.1,30,MAE,2025-12-17 12:00:36,2025-12-17 12:00:42,1,0.3550537824630737,0.3883048892021179,0.6231411695480347,0.8051181102362205
7,30,32,64,2,0.001,0.2,50,MSE,2025-12-17 11:07:56,2025-12-17 11:08:04,1,0.3628928363323211,0.2778145372867584,0.5270811319351196,0.8023483365949119
35,30,32,128,2,0.001,0.1,50,MSE,2025-12-17 11:11:56,2025-12-17 11:12:19,1,0.3671522140502929,0.2380348443984985,0.4878881573677063,0.812133072407045
116,30,64,128,3,0.001,0.1,50,MAE,2025-12-17 11:31:51,2025-12-17 11:32:23,1,0.3734135031700134,0.3150511682033539,0.5612941980361938,0.8101761252446184
171,45,32,128,2,0.002,0.1,50,MSE,2025-12-17 11:45:30,2025-12-17 11:46:01,1,0.3785343766212463,0.3673088252544403,0.6060600876808167,0.8031496062992126
250,45,64,128,3,0.002,0.1,30,MAE,2025-12-17 12:12:59,2025-12-17 12:13:25,1,0.3793581426143646,0.3818086385726928,0.6179066300392151,0.8011811023622047
72,30,64,64,2,0.001,0.2,50,MAE,2025-12-17 11:24:05,2025-12-17 11:24:10,1,0.3851581215858459,0.3565843403339386,0.5971468091011047,0.8023483365949119
164,45,32,128,2,0.001,0.1,50,MAE,2025-12-17 11:42:43,2025-12-17 11:43:14,1,0.3922570943832397,0.2909073829650879,0.5393583178520203,0.8149606299212598
154,45,32,64,3,0.002,0.1,30,MAE,2025-12-17 11:40:30,2025-12-17 11:40:36,1,0.3990390300750732,0.6601527333259583,0.8124978542327881,0.8070866141732284
224,45,64,64,3,0.002,0.2,50,MAE,2025-12-17 12:01:21,2025-12-17 12:01:30,1,0.4000050127506256,0.4508089125156402,0.671423077583313,0.8188976377952756
38,30,32,128,2,0.001,0.2,30,MAE,2025-12-17 11:12:56,2025-12-17 11:13:10,1,0.4073164165019989,0.2807214856147766,0.52983158826828,0.8023483365949119
184,45,32,128,3,0.001,0.2,50,MAE,2025-12-17 11:52:23,2025-12-17 11:53:10,1,0.411093920469284,0.5423995852470398,0.7364778518676758,0.812992125984252
180,45,32,128,3,0.001,0.1,50,MAE,2025-12-17 11:49:54,2025-12-17 11:50:40,1,0.4157676100730896,0.4450023174285888,0.6670849323272705,0.8090551181102362
234,45,64,128,2,0.002,0.1,30,MAE,2025-12-17 12:04:57,2025-12-17 12:05:14,1,0.42005655169487,0.2081297188997268,0.4562123715877533,0.8011811023622047
211,45,64,64,3,0.001,0.1,50,MSE,2025-12-17 11:59:42,2025-12-17 11:59:51,1,0.4357507228851318,0.4309684038162231,0.6564818620681763,0.8031496062992126
212,45,64,64,3,0.001,0.1,50,MAE,2025-12-17 11:59:51,2025-12-17 12:00:00,1,0.4535155296325683,0.560042142868042,0.7483596205711365,0.8031496062992126
155,45,32,64,3,0.002,0.1,50,MSE,2025-12-17 11:40:36,2025-12-17 11:40:47,1,0.4569343626499176,0.5998590588569641,0.7745056748390198,0.8110236220472441
30,30,32,64,3,0.002,0.2,30,MAE,2025-12-17 11:11:02,2025-12-17 11:11:09,1,0.4756945371627807,0.8197799324989319,0.9054169654846193,0.8043052837573386
166,45,32,128,2,0.001,0.2,30,MAE,2025-12-17 11:43:32,2025-12-17 11:43:51,1,0.4822753071784973,0.359879583120346,0.5998996496200562,0.8011811023622047
