nr_model,seq_length,batch_size,hidden_size,num_layers,lr,dropout_prob,num_epochs,loss_function,data_inicial,data_final,mae,mse,rmse,dac
108,30,64,64,2,0.002,0.1,50,MAE,2025-11-07 22:38:14,2025-11-07 22:38:19,0.5100417733192444,0.486858069896698,0.6977521777153015,0.5009784735812133
109,30,64,64,2,0.002,0.2,30,MSE,2025-11-07 22:38:19,2025-11-07 22:38:22,0.33563095331192017,0.23437491059303284,0.4841228127479553,0.5185909980430529
110,30,64,64,2,0.002,0.2,30,MAE,2025-11-07 22:38:22,2025-11-07 22:38:25,0.5842390060424805,0.6632687449455261,0.8144131302833557,0.4931506849315068
111,30,64,64,2,0.002,0.2,50,MSE,2025-11-07 22:38:25,2025-11-07 22:38:30,0.36633914709091187,0.2612135708332062,0.5110905766487122,0.5107632093933464
112,30,64,64,2,0.002,0.2,50,MAE,2025-11-07 22:38:30,2025-11-07 22:38:35,0.36376094818115234,0.2561468482017517,0.5061095356941223,0.49902152641878667
113,30,64,64,3,0.001,0.1,30,MSE,2025-11-07 22:38:35,2025-11-07 22:38:39,0.5587155818939209,0.663824200630188,0.814754068851471,0.5068493150684932
114,30,64,64,3,0.001,0.1,30,MAE,2025-11-07 22:38:39,2025-11-07 22:38:44,0.8296627998352051,1.2053545713424683,1.0978864431381226,0.5107632093933464
115,30,64,64,3,0.001,0.1,50,MSE,2025-11-07 22:38:44,2025-11-07 22:38:51,0.6272484660148621,0.7107242345809937,0.843044638633728,0.49902152641878667
116,30,64,64,3,0.001,0.1,50,MAE,2025-11-07 22:38:51,2025-11-07 22:38:58,0.4509301781654358,0.42874017357826233,0.6547825336456299,0.487279843444227
117,30,64,64,3,0.001,0.2,30,MSE,2025-11-07 22:38:58,2025-11-07 22:39:02,0.49249643087387085,0.5856676697731018,0.7652892470359802,0.5009784735812133
118,30,64,64,3,0.001,0.2,30,MAE,2025-11-07 22:39:02,2025-11-07 22:39:06,0.6606605052947998,0.8640203475952148,0.9295269250869751,0.5107632093933464
119,30,64,64,3,0.001,0.2,50,MSE,2025-11-07 22:39:06,2025-11-07 22:39:13,0.5115715265274048,0.5540982484817505,0.7443777322769165,0.50293542074364
120,30,64,64,3,0.001,0.2,50,MAE,2025-11-07 22:39:13,2025-11-07 22:39:20,0.5246043801307678,0.6234111785888672,0.7895638942718506,0.49510763209393344
121,30,64,64,3,0.002,0.1,30,MSE,2025-11-07 22:39:20,2025-11-07 22:39:25,0.7064591646194458,0.8055109977722168,0.8975026607513428,0.49510763209393344
122,30,64,64,3,0.002,0.1,30,MAE,2025-11-07 22:39:25,2025-11-07 22:39:29,0.5654332041740417,0.7067290544509888,0.8406717777252197,0.4892367906066536
123,30,64,64,3,0.002,0.1,50,MSE,2025-11-07 22:39:29,2025-11-07 22:39:36,0.3800767660140991,0.32935795187950134,0.5738971829414368,0.50293542074364
124,30,64,64,3,0.002,0.1,50,MAE,2025-11-07 22:39:36,2025-11-07 22:39:43,0.3970401883125305,0.4168359637260437,0.6456283330917358,0.487279843444227
125,30,64,64,3,0.002,0.2,30,MSE,2025-11-07 22:39:43,2025-11-07 22:39:47,0.5307750701904297,0.6216475963592529,0.788446307182312,0.4892367906066536
126,30,64,64,3,0.002,0.2,30,MAE,2025-11-07 22:39:47,2025-11-07 22:39:52,0.3927522301673889,0.3864590525627136,0.6216583251953125,0.4911937377690802
127,30,64,64,3,0.002,0.2,50,MSE,2025-11-07 22:39:52,2025-11-07 22:39:59,0.6556758880615234,0.853675365447998,0.9239455461502075,0.5068493150684932
128,30,64,64,3,0.002,0.2,50,MAE,2025-11-07 22:39:59,2025-11-07 22:40:06,0.5596216917037964,0.6501834392547607,0.8063395023345947,0.4892367906066536
129,45,32,32,2,0.001,0.1,30,MSE,2025-11-07 22:40:06,2025-11-07 22:40:10,0.5299661159515381,0.6271167993545532,0.7919070720672607,0.5078740157480315
130,45,32,32,2,0.001,0.1,30,MAE,2025-11-07 22:40:10,2025-11-07 22:40:15,0.6822914481163025,0.9417703151702881,0.9704484939575195,0.5039370078740157
131,45,32,32,2,0.001,0.1,50,MSE,2025-11-07 22:40:15,2025-11-07 22:40:22,0.7978619933128357,1.1192878484725952,1.0579639673233032,0.5118110236220472
132,45,32,32,2,0.001,0.1,50,MAE,2025-11-07 22:40:22,2025-11-07 22:40:29,0.5906139612197876,0.7747334241867065,0.8801894187927246,0.4921259842519685
133,45,32,32,2,0.001,0.2,30,MSE,2025-11-07 22:40:29,2025-11-07 22:40:34,0.7653861045837402,1.0486078262329102,1.0240155458450317,0.5177165354330708
