nr_model,seq_length,batch_size,hidden_size,num_layers,lr,dropout_prob,num_epochs,loss_function,data_inicial,data_final,dias_futuros,mae,mse,rmse,dac
45,30,32,128,2,0.002,0.2,30,MSE,2025-11-20 21:52:03,2025-11-20 21:52:17,1,0.20590738952159882,0.07881639897823334,0.2807425856590271,0.7945205479452054
46,30,32,128,2,0.002,0.2,30,MAE,2025-11-20 21:52:17,2025-11-20 21:52:31,1,0.6505283713340759,0.7000467777252197,0.8366879820823669,0.812133072407045
47,30,32,128,2,0.002,0.2,50,MSE,2025-11-20 21:52:31,2025-11-20 21:52:54,1,0.16786642372608185,0.08823107182979584,0.29703715443611145,0.8062622309197651
48,30,32,128,2,0.002,0.2,50,MAE,2025-11-20 21:52:54,2025-11-20 21:53:17,1,0.483434796333313,0.5033870339393616,0.7094977498054504,0.8160469667318982
49,30,32,128,3,0.001,0.1,30,MSE,2025-11-20 21:53:17,2025-11-20 21:53:37,1,0.16198217868804932,0.07125724107027054,0.26694053411483765,0.7964774951076321
50,30,32,128,3,0.001,0.1,30,MAE,2025-11-20 21:53:37,2025-11-20 21:53:58,1,0.2648814022541046,0.22857719659805298,0.47809746861457825,0.8101761252446184
51,30,32,128,3,0.001,0.1,50,MSE,2025-11-20 21:53:58,2025-11-20 21:54:32,1,0.24903403222560883,0.20983491837978363,0.45807740092277527,0.8023483365949119
52,30,32,128,3,0.001,0.1,50,MAE,2025-11-20 21:54:32,2025-11-20 21:55:06,1,0.43986791372299194,0.4646914303302765,0.6816827654838562,0.8140900195694716
53,30,32,128,3,0.001,0.2,30,MSE,2025-11-20 21:55:07,2025-11-20 21:55:27,1,0.171209454536438,0.07725009322166443,0.2779390215873718,0.786692759295499
54,30,32,128,3,0.001,0.2,30,MAE,2025-11-20 21:55:27,2025-11-20 21:55:48,1,0.3882587254047394,0.49111631512641907,0.700796902179718,0.8023483365949119
55,30,32,128,3,0.001,0.2,50,MSE,2025-11-20 21:55:48,2025-11-20 21:56:22,1,0.20024870336055756,0.15439929068088531,0.3929367661476135,0.7925636007827789
56,30,32,128,3,0.001,0.2,50,MAE,2025-11-20 21:56:22,2025-11-20 21:56:56,1,0.4265456199645996,0.42558011412620544,0.6523650288581848,0.8003913894324853
57,30,32,128,3,0.002,0.1,30,MSE,2025-11-20 21:56:57,2025-11-20 21:57:17,1,0.45212864875793457,0.24441103637218475,0.4943794310092926,0.8062622309197651
58,30,32,128,3,0.002,0.1,30,MAE,2025-11-20 21:57:17,2025-11-20 21:57:38,1,0.5208000540733337,0.6404491066932678,0.8002806305885315,0.8003913894324853
59,30,32,128,3,0.002,0.1,50,MSE,2025-11-20 21:57:38,2025-11-20 21:58:12,1,0.650679349899292,0.9020015597343445,0.9497376084327698,0.8043052837573386
60,30,32,128,3,0.002,0.1,50,MAE,2025-11-20 21:58:12,2025-11-20 21:58:46,1,0.35355451703071594,0.3177095949649811,0.5636573433876038,0.812133072407045
61,30,32,128,3,0.002,0.2,30,MSE,2025-11-20 21:58:46,2025-11-20 21:59:07,1,0.331965833902359,0.1570763736963272,0.3963286280632019,0.8003913894324853
62,30,32,128,3,0.002,0.2,30,MAE,2025-11-20 21:59:07,2025-11-20 21:59:27,1,0.191797137260437,0.14016856253147125,0.37439092993736267,0.8082191780821918
63,30,32,128,3,0.002,0.2,50,MSE,2025-11-20 21:59:28,2025-11-20 22:00:02,1,0.24867069721221924,0.19445204734802246,0.4409671723842621,0.8180039138943248
64,30,32,128,3,0.002,0.2,50,MAE,2025-11-20 22:00:02,2025-11-20 22:00:36,1,0.37290239334106445,0.48377931118011475,0.6955424547195435,0.8043052837573386
65,30,64,64,2,0.001,0.1,30,MSE,2025-11-20 22:00:36,2025-11-20 22:00:39,1,0.6014429926872253,0.6731199622154236,0.8204388618469238,0.7045009784735812
66,30,64,64,2,0.001,0.1,30,MAE,2025-11-20 22:00:39,2025-11-20 22:00:42,1,0.2728305757045746,0.25896722078323364,0.5088882446289062,0.7710371819960861
